metric,HW5-6 best,HW7 improved,delta
quality_index,0.7607,0.7816110281642392,0.020911028164239176
ROC-AUC,0.853,0.877100043337104,0.024100043337104027
PR-AUC,0.7942,0.8197199225038235,0.02551992250382351
Brier,0.1607,0.14273228479169758,-0.017967715208302426
Precision@20,0.8172,0.8367346938775511,0.019534693877551024
Recall@20,0.4147,0.4245992339338913,0.009899233933891305
Lift@20,2.073,2.1226400618411643,0.04964006184116432
