required_car_parking_spaces,n,cancel_rate,adr_mean,booking_value_sum
0,111974,0.39494882740636217,101.08226981263508,39838295.85
1,7383,0.0,113.13415684681024,2867644.2
2,28,0.0,117.20392857142858,15038.49
3,3,0.0,120.11000000000001,1998.99
8,2,0.0,60.0,520.0
