split,rows,date_min,date_max,cancel_rate
train,83446,2015-07-01,2017-02-10,0.36084413872444454
validation,17881,2017-02-10,2017-05-22,0.39365807281471954
test,17882,2017-05-22,2017-08-31,0.3941952801700034
