model,type,quality_index,roc_auc,pr_auc,brier,precision,recall,f1,precision_at_10,recall_at_10,lift_at_10,precision_at_20,recall_at_20,lift_at_20,threshold,train_time_sec,best_params
HW7 LightGBM FE + train-only encoding,improved_lgbm,0.7816110281642392,0.877100043337104,0.8197199225038235,0.14273228479169758,0.5730365182591296,0.9750319194211945,0.7218400462112062,0.9536053661263275,0.2420201447013761,2.4191191881218597,0.8367346938775511,0.4245992339338913,2.1226400618411643,0.18645197983693826,2.9183177947998047,"{'num_leaves': 64, 'max_depth': 7, 'learning_rate': 0.05, 'n_estimators': 260, 'min_child_samples': 70, 'subsample': 0.9, 'colsample_bytree': 0.8, 'reg_lambda': 10.0, 'reg_alpha': 0.5}"
HW7 calibrated probabilities,postprocessed_calibration,0.779132650264439,0.8762353179731175,0.8054701525543284,0.14054373681471277,0.5801546172797554,0.9687898992764932,0.7257173219978746,0.9491335941866965,0.24088523194779402,2.4077751356570443,0.8420464076041375,0.4272946517236487,2.1361148901655818,0.19642857142857142,,"{'base_model': 'HW7 LightGBM FE + train-only encoding', 'calibration': 'isotonic'}"
HW5-6 best: LightGBM random search,previous_best,0.7607,0.853,0.7942,0.1607,,,,,,,0.8172,0.4147,2.073,,,from HW5-6 report
