customer_type,count,cancellations,cancel_rate,share_of_rows
Transient,89613,36514,0.4074632028835102,0.7505905017170618
Contract,4076,1262,0.3096172718351325,0.03414021274813636
Transient-Party,25124,6389,0.2542986785543703,0.21043638495686406
Group,577,59,0.1022530329289428,0.004832900577937851
