lead_time_bin,count,cancellations,cancel_rate,share_of_rows
0–7,19746,1902,0.09632330598602248,0.16539073624256637
8–30,18960,5283,0.2786392405063291,0.15880727029064412
31–90,29553,11141,0.37698372415660003,0.2475332942457492
91–180,26439,11821,0.44710465600060517,0.22145070776446937
181–365,21544,11947,0.5545395469736354,0.18045062400536058
366+,3148,2130,0.6766200762388819,0.02636736745121032
