segment,value,rows,cancel_rate,roc_auc,pr_auc,precision_at_20,recall_at_20,lift_at_20,expected_loss_sum
hotel,City Hotel,12010,0.40457951706910905,0.871430687147954,0.8285779644853103,0.8667776852622814,0.42848322700144065,2.142416135007203,2022733.9650215595
hotel,Resort Hotel,5872,0.37295640326975477,0.9006248465321853,0.8270502924789283,0.8561702127659574,0.4593607305936073,2.295630817060138,1781330.5189503252
deposit_type,No Deposit,16538,0.3450235820534527,0.8486201294498885,0.6966850451308657,0.7357920193470375,0.42656852436032244,2.1325847206381536,3772397.331480843
deposit_type,Non Refund,1325,0.999245283018868,1.0,1.0,1.0,0.2001510574018127,1.0007552870090635,23106.46972805899
market_segment,Online TA,10820,0.42680221811460256,0.7980663692917342,0.7045062364150713,0.7319778188539742,0.343005630142919,1.7150281507145952,3078984.5988829783
market_segment,Offline TA/TO,2833,0.3346276032474409,0.9832121792073778,0.9672265025637267,0.9947089947089947,0.5949367088607594,2.9725850021208666,248943.12729290026
market_segment,Direct,2117,0.1889466225791214,0.8124403028538147,0.5071208926905644,0.4834905660377358,0.5125,2.558873820754717,378017.49883232237
market_segment,Groups,1497,0.6179024716098864,0.9902948402948404,0.9943366012474812,1.0,0.32432432432432434,1.6183783783783785,56029.51829881403
market_segment,Corporate,475,0.27789473684210525,0.9325139146567718,0.8852336305309751,0.9157894736842105,0.6590909090909091,3.2954545454545454,38540.44416312742
market_segment,Complementary,85,0.11764705882352941,0.6893333333333334,0.23655116155952788,0.23529411764705882,0.4,2.0,81.78639314723392
market_segment,Aviation,55,0.2909090909090909,0.7900641025641026,0.6164446984595651,0.6363636363636364,0.4375,2.1875,3467.5101085951396
customer_type,Transient,15169,0.43859186498780406,0.8600686362421075,0.8271012713851911,0.8618984838497034,0.3930557643168495,1.965149271233451,3576234.69966557
customer_type,Transient-Party,2227,0.14683430624158061,0.9273225494929984,0.69817573998939,0.5650224215246636,0.7706422018348624,3.848027317233718,174298.94051293947
customer_type,Contract,391,0.1534526854219949,0.9944108761329304,0.9768048306430591,0.7468354430379747,0.9833333333333333,4.866877637130801,45759.96119504636
customer_type,Group,95,0.09473684210526316,0.9580103359173127,0.6700392257667799,0.47368421052631576,1.0,5.0,7770.882598328574
