model,type,quality_index,roc_auc,pr_auc,brier,precision,recall,f1,precision_at_20,recall_at_20,lift_at_20,threshold,train_time_sec,best_params
LightGBM random search,complex_hpo_automl_like,0.760716630303218,0.8530181844677687,0.7942452202440908,0.16067644554731547,0.5326465804352878,0.9755993757979855,0.6890781563126253,0.8171652222532849,0.4146687473400482,2.0729959574880463,0.20991772708191372,12.854085683822632,"{'colsample_bytree': np.float64(0.7935133228268232), 'learning_rate': np.float64(0.057032364235875585), 'max_depth': 5, 'min_child_samples': 23, 'n_estimators': 559, 'num_leaves': 116, 'reg_lambda': np.float64(11.196283558285792), 'subsample': np.float64(0.9325398470083344)}"
XGBoost random search,complex_hpo,0.7587577677323625,0.8500688374138609,0.7911949373895926,0.16108731925487518,0.5383034231955095,0.9659526173925379,0.6913392222560666,0.8166060944925916,0.4143850191516527,2.0715775545065287,0.22522515058517437,12.495167970657349,"{'colsample_bytree': np.float64(0.8181338653264754), 'learning_rate': np.float64(0.049134265635794296), 'max_depth': 6, 'min_child_weight': np.float64(15.589760830378902), 'n_estimators': 427, 'reg_lambda': np.float64(10.262311031520227), 'subsample': np.float64(0.8369863326816811)}"
Tabular + serialized text TF-IDF,complex_multimodal_serialization,0.7488018615165732,0.8370846125885141,0.7807185136550724,0.18778120501167855,0.5142427658774896,0.970634132501064,0.6723002849562739,0.8160469667318982,0.4141012909632572,2.070159151525011,0.33475977957114983,12.620098114013672,alpha=0.001
Random Forest,simple_ml_nonlinear,0.7456955180569882,0.8371919895515321,0.775249272232295,0.1631354643465986,0.5297761945326416,0.9704922684068662,0.6854022643021741,0.7967570589879788,0.40431266846361186,2.0212242486626524,0.26433574612107574,1.9058339595794678,
Logistic Regression,simple_ml,0.7444754345429913,0.8340150942191435,0.7765696793268115,0.1927194521690151,0.5160680529300568,0.968222442899702,0.6732761171944363,0.8082191780821918,0.41012909632572,2.0503015097837642,0.33637736325210155,0.9859979152679443,
Rule-based risk score,heuristic,0.5198746900175154,0.623053750803232,0.4731725221854252,0.3216722287853086,0.41537544696066747,0.9887927365583771,0.5850014687985228,0.5261392228124127,0.26698822528018157,1.3347172056081094,0.5208333333333334,0.11784195899963379,
Naive prior,naive,0.43757709465965394,0.5,0.3941952801700034,0.23991765989741756,0.0,0.0,0.0,0.400335476656416,0.20314938289119025,1.015576534766638,0.5,0.0007960796356201172,
