total_of_special_requests,n,cancel_rate,adr_mean,booking_value_sum
0,70318,0.4772035609658978,94.96161110953099,22401446.85
1,33226,0.2202492024318305,108.455823752483,13082731.72
2,12969,0.22098851106484693,117.0334505358933,5771817.43
3,2497,0.17861433720464556,123.84613135762915,1245129.08
4,340,0.10588235294117647,130.56870588235293,198514.36
5,40,0.05,127.7465,23858.09
