top_frac,selected_bookings,expected_loss,intervention_success_rate,intervention_cost,expected_protected_revenue,net_effect,non_refund_share,no_deposit_share
0.05,895,1149677.899005292,0.15,1790.0,172451.6848507938,170661.6848507938,0.0,1.0
0.1,1789,1811302.533093398,0.15,3578.0,271695.3799640097,268117.3799640097,0.0,0.9972051425377306
0.2,3577,2687453.8590705832,0.15,7154.0,403118.0788605875,395964.0788605875,0.0,0.9977634889572268
0.3,5365,3274171.979304838,0.15,10730.0,491125.79689572565,480395.79689572565,0.0,0.9985088536812675
