model,split,n,base_cancel,roc_auc,pr_auc,brier,precision_05,recall_05,f1_05,precision10,recall10,lift10,precision20,recall20,lift20
logreg_balanced_small_feature_set,valid,27262,0.37345022375467685,0.8436202458123732,0.8088784917752356,0.16279500139222758,0.6562363810685958,0.7395147824378745,0.695391151750254,0.9996331621423331,0.26765543659758373,2.676750738269746,0.8750917094644167,0.46861801394754937,2.343261976566047
logreg_balanced_small_feature_set,test,9252,0.2827496757457847,0.7262315481490084,0.5180463138266551,0.18852271646166657,0.49644043663977216,0.39984709480122327,0.44293881007834,0.6172972972972973,0.21827217125382262,2.1831936523679643,0.5021621621621621,0.3551223241590214,1.7759955368212248
rule_based,valid,27262,0.37345022375467685,0.6139593514290815,0.4501572524541011,,,,,0.5803374908290535,0.15538748649445044,1.553988868969812,0.5445707997065297,0.2916216481681564,1.458215218701445
rule_based,test,9252,0.2827496757457847,0.5932899134182377,0.3418014605379221,,,,,0.3816216216216216,0.1349388379204893,1.3496801388544508,0.46702702702702703,0.3302752293577982,1.6517332010909993
