deposit_type,n,cancel_rate,adr_mean,booking_value_sum
No Deposit,104641,0.28377022390841067,103.52506665647309,39053065.25
Non Refund,14587,0.9936244601357374,89.96401727565642,3621446.9
Refundable,162,0.2222222222222222,76.20975308641975,48985.38
