market_segment,count,cancellations,cancel_rate,share_of_rows
Undefined,2,2,1.0,1.6751821760616466e-05
Groups,19811,12097,0.6106203624249155,0.16593517044978642
Online TA,56477,20739,0.3672114312020823,0.47304631878716813
Offline TA/TO,24219,8311,0.34316032866757507,0.20285618561018512
Aviation,237,52,0.21940928270042195,0.0019850908786330514
Corporate,5295,992,0.1873465533522191,0.044350448111232094
Direct,12606,1934,0.15341900682214818,0.1055867325571656
Complementary,743,97,0.13055181695827725,0.006223301784069018
