customer_type,n,cancel_rate,adr_mean,booking_value_sum
Transient,89613,0.4074632028835102,107.01362068003526,34199103.91
Transient-Party,25124,0.2542986785543703,86.08425330361406,6544635.58
Contract,4076,0.3096172718351325,87.54963689892051,1839077.75
Group,577,0.1022530329289428,83.48857885615251,140680.29
