distribution_channel,count,cancellations,cancel_rate,share_of_rows
Undefined,5,4,0.8,4.1879554401541165e-05
TA/TO,97870,40152,0.41025850618166954,0.8197503978557669
Corporate,6677,1474,0.22075782537067545,0.05592595694781807
GDS,193,37,0.19170984455958548,0.0016165507998994891
Direct,14645,2557,0.17459883919426425,0.12266521484211408
