distribution_channel,n,cancel_rate,adr_mean,booking_value_sum
TA/TO,97870,0.41025850618166954,103.29286614897313,36096134.85
Direct,14645,0.17459883919426425,106.65498258791396,5466100.8
Corporate,6677,0.22075782537067545,69.32520443312865,1114093.46
GDS,193,0.19170984455958548,120.55430051813471,45997.42
Undefined,5,0.8,46.239999999999995,1171.0
