hotel,rows,cancel_rate,roc_auc,pr_auc,precision_at_20,recall_at_20,lift_at_20,expected_loss
City Hotel,12010,0.40457951706910905,0.8465248320351719,0.8040695389889908,0.8451290591174022,0.4177814365095699,2.0889071825478496,2299513.1021810584
Resort Hotel,5872,0.37295640326975477,0.8773969502379837,0.7875578220813882,0.8195744680851064,0.4397260273972603,2.1975074322354997,2025737.1438071968
