lead_time_bin,n,cancel_rate,adr_mean
0-7,19746,0.09632330598602248,89.97077838549579
8-30,18960,0.2786392405063291,108.12161075949368
31-90,29553,0.37698372415660003,106.57242614962948
91-180,26439,0.44710465600060517,109.1255399220848
181-365,21544,0.5545395469736354,95.0735699034534
366+,3148,0.6766200762388819,78.81156925031766
