meal,n,cancel_rate,adr_mean,booking_value_sum
BB,92310,0.3738489871086556,99.4070414906294,31173297.22
HB,14463,0.3446034709258107,120.30704072460762,7700977.82
SC,10650,0.3723943661971831,98.29586854460094,2947990.59
Undefined,1169,0.2446535500427716,91.94830624465355,491566.43
FB,798,0.5989974937343359,109.0404761904762,409665.47
