market_segment,bookings,cancel_rate,total_booking_value,canceled_booking_value,mean_booking_value
Online TA,56477,0.3672114312020823,23942047.53,10227646.11,423.925625121731
Groups,19810,0.6106511862695608,4669700.54,2800543.98,235.7244088844018
Offline TA/TO,24219,0.34316032866757507,8151912.73,2492358.1500000004,336.5916317767043
Direct,12606,0.15341900682214818,5093028.39,993409.8200000001,404.0162137077582
Corporate,5295,0.1873465533522191,774295.26,196383.07,146.23139943342775
Aviation,237,0.21940928270042195,87446.36,16578.0,368.9719831223629
Complementary,743,0.13055181695827725,5082.52,269.99,6.840538358008076
Undefined,2,1.0,48.0,48.0,24.0
